id,unitName,unitAddress
1,华夏科技有限公司,华夏科技有限公司的地址1
2,南京市金陵电子股份有限公司,南京市金陵电子股份有限公司的地址2
3,华夏科技有限公司江苏省,华夏科技有限公司江苏省的地址3
4,华夏科技有限公司浙江省,华夏科技有限公司浙江省的地址4
5,华夏科技有限公司山东省,华夏科技有限公司山东省的地址5
6,南京市金陵电子股份有限公司江苏省,南京市金陵电子股份有限公司江苏省的地址6
7,华夏科技有限公司浙江省杭州市分公司,华夏科技有限公司浙江省杭州市分公司的地址7
8,华夏科技有限公司山东省济南市分公司,华夏科技有限公司山东省济南市分公司的地址8
9,南京市金陵电子股份有限公司江苏省南京市分公司,南京市金陵电子股份有限公司江苏省南京市分公司的地址9
10,华夏科技有限公司浙江省温州市分公司,华夏科技有限公司浙江省温州市分公司的地址10
11,华夏科技有限公司北京市昌平区分公司,华夏科技有限公司北京市昌平区分公司的地址11
12,南京市金陵电子股份有限公司江苏省南京市分公司,南京市金陵电子股份有限公司江苏省南京市分公司的地址12
13,华夏科技有限公司北京市顺义区分公司,华夏科技有限公司北京市顺义区分公司的地址13
14,华夏科技有限公司浙江省湖州市分公司,华夏科技有限公司浙江省湖州市分公司的地址14
15,南京市金陵电子股份有限公司江苏省南京市江宁区分公司,南京市金陵电子股份有限公司江苏省南京市江宁区分公司的地址15
16,华夏科技有限公司北京市朝阳区分公司,华夏科技有限公司北京市朝阳区分公司的地址16
17,华夏科技有限公司江苏省苏州市分公司,华夏科技有限公司江苏省苏州市分公司的地址17
18,南京市金陵电子股份有限公司,南京市金陵电子股份有限公司的地址18
19,华夏科技有限公司北京市石景山区分公司,华夏科技有限公司北京市石景山区分公司的地址19
20,华夏科技有限公司江苏省徐州市分公司,华夏科技有限公司江苏省徐州市分公司的地址20
21,南京市金陵电子股份有限公司,南京市金陵电子股份有限公司的地址21
22,华夏科技有限公司北京市海淀区分公司,华夏科技有限公司北京市海淀区分公司的地址22
23,华夏科技有限公司江苏省徐州市研发中心,华夏科技有限公司江苏省徐州市研发中心的地址23
24,南京市金陵电子股份有限公司江苏省南京市分公司,南京市金陵电子股份有限公司江苏省南京市分公司的地址24
25,华夏科技有限公司北京市昌平区研发中心,华夏科技有限公司北京市昌平区研发中心的地址25
26,华夏科技有限公司浙江省杭州市西湖区分公司,华夏科技有限公司浙江省杭州市西湖区分公司的地址26
27,南京市金陵电子股份有限公司江苏省南京市江宁区分公司,南京市金陵电子股份有限公司江苏省南京市江宁区分公司的地址27
28,华夏科技有限公司北京市昌平区研发中心,华夏科技有限公司北京市昌平区研发中心的地址28
29,华夏科技有限公司江苏省徐州市分公司,华夏科技有限公司江苏省徐州市分公司的地址29
30,南京市金陵电子股份有限公司江苏省南京市鼓楼区分公司,南京市金陵电子股份有限公司江苏省南京市鼓楼区分公司的地址30
31,华夏科技有限公司北京市昌平区研发中心,华夏科技有限公司北京市昌平区研发中心的地址31
